Coin sup gauche,"(149, 149)",Coin inf droit,"(3014, 1607)"
x,y,t
1059,693,0
1851,1454,0.22326946258544922
2239,1169,0.43023204803466797
2459,979,0.6462156772613525
2773,703,0.8595640659332275
2926,535,1.0777921676635742
2812,340,1.2967917919158936
2750,319,1.5085959434509277
2678,381,1.7176144123077393
2647,406,1.932877540588379
2616,430,2.1499545574188232
2616,430,2.3658974170684814
2616,430,2.5818192958831787
2616,430,2.796006679534912
2616,430,3.008568048477173
2616,430,3.2277395725250244
2616,430,3.437016725540161
2616,430,3.649458646774292
2616,430,3.86295485496521
2616,430,4.07719612121582
2616,430,4.29479193687439
2616,430,4.5036301612854
2616,430,4.715271949768066
2616,430,4.931219100952148
2616,430,5.1490318775177
2616,430,5.368030309677124
2616,430,5.580796957015991
2616,430,5.796790599822998
2616,430,6.011949777603149
2616,430,6.231935024261475
