Coin sup gauche,"(149, 149)",Coin inf droit,"(3014, 1607)"
x,y,t
1641,1252,0
2294,1401,0.21263456344604492
2606,1443,0.42902374267578125
2866,1464,0.6433460712432861
2746,1469,0.8599152565002441
2596,1443,1.0698537826538086
2525,1402,1.2836859226226807
2434,1340,1.4987008571624756
2403,1285,1.7138776779174805
2371,1220,1.932002305984497
2361,1186,2.141223192214966
2340,1165,2.3524417877197266
2340,1142,2.5695762634277344
2340,1142,2.7912726402282715
2340,1142,2.9968297481536865
2340,1142,3.2076103687286377
2340,1142,3.419203281402588
2340,1142,3.6372263431549072
2340,1142,3.857983112335205
2340,1142,4.064803838729858
2340,1142,4.281695365905762
2340,1142,4.498121023178101
2340,1142,4.714240074157715
2340,1142,4.931535482406616
2340,1142,5.142475366592407
2340,1142,5.355877876281738
2340,1142,5.574594736099243
2340,1142,5.786224365234375
2340,1142,6.000231504440308
2340,1142,6.212162256240845
2340,1142,6.428552865982056
2340,1142,6.6441731452941895
2340,1142,6.86579155921936
