Coin sup gauche,"(149, 149)",Coin inf droit,"(3014, 1607)"
x,y,t
2348,441,0
1926,1262,0.20662188529968262
1661,1485,0.4231281280517578
1513,1347,0.6406981945037842
1329,1118,0.8605692386627197
1241,997,1.0763895511627197
1139,829,1.2892091274261475
1103,749,1.4998714923858643
1059,693,1.7203168869018555
1059,693,1.9355545043945312
1059,693,2.1454195976257324
1059,693,2.3596322536468506
1059,693,2.5727667808532715
1059,693,2.787902355194092
1059,693,3.0080480575561523
1059,693,3.219661235809326
1059,693,3.4331154823303223
1059,693,3.648075580596924
1059,693,3.867418050765991
1059,693,4.087102890014648
1059,693,4.297269821166992
1059,693,4.511441230773926
1059,693,4.73456597328186
1059,693,4.957958221435547
1059,693,5.167179584503174
1059,693,5.380506753921509
