Coin sup gauche,"(149, 149)",Coin inf droit,"(3014, 1607)"
x,y,t
1581,878,0
2722,762,0.21534347534179688
2586,502,0.42772483825683594
2512,376,0.6442859172821045
2419,333,0.8582799434661865
2388,381,1.0737566947937012
2348,430,1.2903664112091064
2348,441,1.504410743713379
2348,441,1.721132755279541
2348,441,1.9364793300628662
2348,441,2.153371810913086
2348,441,2.3666844367980957
2348,441,2.580512285232544
2348,441,2.797715902328491
2348,441,3.010225772857666
2348,441,3.2234909534454346
2348,441,3.4377951622009277
2348,441,3.6572301387786865
2348,441,3.871291399002075
2348,441,4.082587242126465
2348,441,4.301084518432617
2348,441,4.510114431381226
2348,441,4.727174282073975
2348,441,4.940155744552612
2348,453,5.158412933349609
