Coin sup gauche,"(149, 149)",Coin inf droit,"(3014, 1607)"
x,y,t
1534,638,0
1545,904,0.21215534210205078
1573,1085,0.4240908622741699
1587,1175,0.6406493186950684
1611,1264,0.8571882247924805
1622,1286,1.0745062828063965
1632,1263,1.288619041442871
1632,1263,1.5024101734161377
1631,1252,1.7174479961395264
1641,1252,1.9363837242126465
1641,1252,2.1557118892669678
1641,1252,2.367499828338623
1642,1263,2.583284378051758
1641,1252,2.7992634773254395
1641,1252,3.0128157138824463
1641,1252,3.2278707027435303
1641,1252,3.4396092891693115
1641,1252,3.655421018600464
1641,1252,3.87231707572937
1631,1252,4.0882978439331055
1641,1252,4.300763368606567
1641,1252,4.51153039932251
1641,1252,4.7267773151397705
1641,1252,4.940963983535767
1641,1252,5.157764196395874
1641,1252,5.366358995437622
1641,1252,5.581119775772095
1641,1252,5.797283887863159
1641,1252,6.007354021072388
1642,1263,6.213104486465454
