Coin sup gauche,"(149, 149)",Coin inf droit,"(3014, 1607)"
x,y,t
2340,1142,0
1740,1437,0.20513081550598145
1480,1304,0.4189035892486572
1131,1070,0.6322088241577148
947,929,0.8527188301086426
695,720,1.0693540573120117
573,619,1.2822356224060059
419,520,1.495370864868164
352,475,1.711902141571045
307,441,1.9336347579956055
307,441,2.1451256275177
307,441,2.359039545059204
307,441,2.5750720500946045
307,441,2.789799213409424
307,441,3.0111544132232666
307,441,3.2213428020477295
307,441,3.4352171421051025
307,441,3.647475004196167
307,441,3.8671722412109375
307,441,4.078529119491577
307,441,4.291889429092407
318,441,4.504229784011841
307,441,4.720234394073486
307,441,4.942633390426636
307,441,5.156999111175537
307,441,5.371734619140625
307,441,5.586585998535156
307,441,5.804306507110596
307,441,6.023777961730957
307,441,6.237985134124756
307,441,6.4505720138549805
307,441,6.665746212005615
307,441,6.888638973236084
307,441,7.102218866348267
307,441,7.316318511962891
307,441,7.529616594314575
307,441,7.741637706756592
307,441,7.95806622505188
307,441,8.171581268310547
307,441,8.386958599090576
307,441,8.600984811782837
307,441,8.811541318893433
307,441,9.027852296829224
307,441,9.240494728088379
307,441,9.451182126998901
307,441,9.660455465316772
307,441,9.889893531799316
