Coin sup gauche,"(149, 149)",Coin inf droit,"(3014, 1607)"
x,y,t
2616,430,0
1383,1408,0.2151930332183838
962,1516,0.429227352142334
352,1285,0.6442980766296387
330,1139,0.8601765632629395
574,933,1.077254295349121
723,823,1.2901458740234375
863,736,1.50315523147583
1066,646,1.7174947261810303
1169,607,1.9414129257202148
1314,589,2.1532702445983887
1387,586,2.3637709617614746
1470,594,2.578385591506958
1492,617,2.795023202896118
1524,627,3.0125339031219482
1534,638,3.226588249206543
1534,638,3.4404265880584717
1534,638,3.6544182300567627
1534,638,3.8680334091186523
1534,638,4.081154823303223
1534,638,4.294922351837158
1534,638,4.51032829284668
1534,638,4.7224650382995605
1534,638,4.942581653594971
1534,638,5.157388925552368
1534,638,5.3709869384765625
1534,638,5.58292293548584
1534,638,5.806541204452515
1534,638,6.02377462387085
1534,638,6.2378363609313965
1534,638,6.449881076812744
1534,638,6.663479566574097
1534,638,6.88571310043335
1534,638,7.0955469608306885
1534,638,7.312904119491577
1534,638,7.515260696411133
