Coin sup gauche,"(149, 149)",Coin inf droit,"(3014, 1607)"
x,y,t
307,441,0
308,310,0.21391701698303223
338,297,0.42864108085632324
361,320,0.642716646194458
361,320,0.8577337265014648
361,320,1.0746629238128662
361,320,1.284496784210205
361,320,1.5021419525146484
361,320,1.7180228233337402
361,320,1.9315297603607178
361,320,2.151336431503296
361,320,2.364361047744751
361,320,2.58465313911438
361,320,2.8008711338043213
361,320,3.016021490097046
361,320,3.22861385345459
361,320,3.441603899002075
361,320,3.6577208042144775
361,320,3.8715415000915527
361,320,4.087585926055908
361,320,4.300926208496094
361,308,4.519751787185669
361,320,4.733260631561279
