Coin sup gauche,"(149, 149)",Coin inf droit,"(3014, 1607)"
x,y,t
361,320,0
1103,749,0.2175428867340088
1380,899,0.4358086585998535
1789,1110,0.6504964828491211
2027,1212,0.8668031692504883
2251,1292,1.0751779079437256
2565,1367,1.290367841720581
2836,1388,1.510138750076294
2916,1385,1.7236015796661377
2846,1377,1.9432451725006104
2816,1356,2.154148817062378
2806,1345,2.3701512813568115
2786,1335,2.5844666957855225
2786,1324,2.8001060485839844
2786,1324,3.016704559326172
2786,1324,3.231717348098755
2786,1324,3.4489622116088867
2786,1324,3.6648592948913574
2786,1324,3.883518695831299
2786,1324,4.089494228363037
2786,1324,4.308217525482178
2786,1324,4.521841764450073
2786,1324,4.7419233322143555
2786,1324,4.955978870391846
2786,1324,5.178731203079224
2786,1324,5.396366357803345
2786,1324,5.611347198486328
2786,1324,5.827172517776489
