masse_A
t;pixel_{x};pixel_{y}
0.0;1161.925343811395;196.62082514734772
0.03333333333333333;1147.779960707269;207.9371316306483
0.06666666666666667;1131.5127701375245;220.66797642436148
0.1;1116.75;225.25
0.13333333333333333;1102.0;234.75
0.16666666666666669;1086.75;241.5
0.2;1071.75;248.75
0.23333333333333334;1057.75;255.0
0.26666666666666666;1057.75;254.25
0.3;1042.25;261.5
0.33333333333333337;1027.75;268.0
0.3666666666666667;1002.5;279.5
0.4;988.5;287.25
0.43333333333333335;973.5;294.75
0.4666666666666667;961.25;298.25
0.5;946.25;304.25
0.5333333333333333;934.0;309.75
0.5666666666666667;920.25;316.0
0.6;909.0;321.5
0.6333333333333334;895.0;327.5
0.6666666666666667;895.0;326.75
0.7000000000000001;885.25;331.75
0.7333333333333334;872.0;338.25
0.7666666666666667;847.25;346.5
0.8;834.25;353.0
0.8333333333333334;821.25;356.5
0.8666666666666667;809.75;360.75
0.9;800.75;364.75
0.9333333333333333;788.75;368.5
0.9666666666666667;778.75;370.5
1.0;766.25;373.75
1.0333333333333334;756.0;377.5
1.0666666666666667;756.25;377.75
1.1;746.25;380.25
1.1333333333333333;736.25;385.25
1.1666666666666667;720.5;390.5
1.2;727.0;395.0
1.2333333333333334;731.25;401.5
1.2666666666666668;737.25;407.25
1.3;738.25;405.5
1.3333333333333335;743.25;411.75
1.3666666666666667;747.25;413.75
1.4000000000000001;751.25;418.75
1.4333333333333333;753.25;418.5
1.4666666666666668;754.5;419.5
1.5;758.5;421.75
1.5333333333333334;760.5;423.5
1.5666666666666667;767.0;425.5
1.6;771.0;426.5
1.6333333333333333;774.25;427.0
1.6666666666666667;777.25;426.0
1.7000000000000002;781.25;424.75
1.7333333333333334;786.5;422.75
1.7666666666666668;785.5;423.75
1.8;786.25;422.75
1.8333333333333335;788.25;422.0
1.8666666666666667;789.0;422.0
1.9000000000000001;790.25;420.5
1.9333333333333333;791.0;420.5
1.9666666666666668;795.0;417.0
2.0;796.75;415.75
2.033333333333333;798.5;414.25
2.066666666666667;799.75;412.5
2.1;800.75;412.75
2.1333333333333333;801.75;411.5
2.166666666666667;802.25;409.5
2.2;804.0;407.75
2.2333333333333334;804.5;407.5
2.2666666666666666;804.0;407.75
2.3000000000000003;804.25;407.0
2.3333333333333335;805.25;405.0
2.3666666666666667;807.0;404.25
2.4;808.25;402.5
2.4333333333333336;809.5;402.75
2.466666666666667;810.25;401.5
2.5;813.25;399.25
2.5333333333333337;812.5;398.75
2.566666666666667;812.5;398.5
2.6;813.25;397.75
2.6333333333333333;813.75;396.5
2.666666666666667;813.25;397.25
2.7;813.75;396.5
2.7333333333333334;814.0;396.5
