masse_A
t;pixel_{x};pixel_{y}
0.0;1208.75;337.5
0.03333333333333333;1235.5;346.0
0.06666666666666667;1265.5;355.75
0.1;1292.5;365.0
0.13333333333333333;1310.75;372.25
0.16666666666666669;1299.25;373.5
0.2;1281.5;376.25
0.23333333333333334;1262.0;382.5
0.26666666666666666;1243.5;388.75
0.3;1229.25;393.75
0.33333333333333337;1217.75;399.5
0.3666666666666667;1209.25;404.25
0.4;1200.25;410.0
0.43333333333333335;1192.75;416.0
0.4666666666666667;1185.0;420.25
0.5;1175.5;427.5
0.5333333333333333;1168.5;432.25
0.5666666666666667;1161.0;436.75
0.6;1154.0;440.25
0.6333333333333334;1146.0;445.0
0.6666666666666667;1138.5;447.25
0.7000000000000001;1130.5;452.0
0.7333333333333334;1124.25;454.25
0.7666666666666667;1117.0;459.0
0.8;1111.75;460.5
0.8333333333333334;1103.5;465.0
0.8666666666666667;1097.0;466.75
0.9;1090.75;470.0
0.9333333333333333;1084.75;472.75
0.9666666666666667;1078.75;474.75
